,id,rank,name,valid_url,urls.website,web_score
650,4681,1951,Color Platform,0,"['https://color-platform.org/~colors/en/', 'https://www.colors.org/']",85
651,6670,1954,Axis DeFi,1,['https://axisdefi.com'],40
652,3813,1959,PTON,0,['https://foresting.io/'],90
653,3965,1961,TouchCon,1,['http://www.touchcon.org/'],-1
654,2555,1965,Sether,0,"['https://www.sether.io/', 'https://sether.com/']",-1
655,2584,1967,Debitum,1,['https://debitum.network/'],100
656,3669,1969,Winco,0,['https://winco.io'],65
657,4255,1970,CryptoAds Marketplace,1,['https://cryptoads.exchange/'],70
658,3764,1974,Save Environment Token,1,['https://www.set4earth.com/'],70
659,1658,1980,Lunyr,1,['https://lunyr.com/'],90
660,4826,1986,ZUM TOKEN,1,['https://zumtoken.com/'],70
661,3757,1988,GMB,0,['https://gmbplatform.io/'],55
662,2260,1990,Datamine,1,['https://datamine.network/'],-1
663,2330,1992,Pylon Network,1,['https://pylon-network.org/'],81
664,6933,1996,Nuco.cloud,1,['https://nuco.cloud/'],75
665,3639,2005,PlayGame,0,['https://its.playgame.com/'],-1
666,2908,2012,HashCoin,1,['https://www.hashfuture.io/'],80
667,8036,2019,YVS.Finance,1,['https://yvs.finance'],50
668,2551,2022,Bezop,1,"['https://bezop.com/', 'https://ecom.bezop.io/welcome/']",100
669,3465,2023,Alt.Estate token,1,['https://alt.estate/'],80
670,3078,2027,Kind Ads Token,1,['https://kindads.io/'],100
671,3506,2031,IONChain,1,['http://ionchain.org/'],75
672,8082,2035,Tornado,1,['https://tornado.finance'],60
673,4577,2038,LunchMoney,1,['https://www.lunchmoney.io'],65
674,4116,2040,TOKPIE,1,['https://tokpie.io/'],66
675,6503,2050,RMPL,1,['https://www.rmpl.io/'],55
676,5545,2064,NFX Coin,1,['https://nfxcoin.io/'],90
677,7876,2066,Sora Validator Token,1,['https://sora.org/'],90
678,5709,2070,Chi Gastoken,1,['https://1inch.exchange/#/'],100
679,2628,2073,Rentberry,1,"['https://ico.rentberry.com/', 'https://rentberry.com/']",100
680,4273,2074,Sessia,1,['https://sessia.com/'],95
681,7989,2080,fyeth.finance,1,"['https://fyeth.finance/', 'https://yethstaking.finance/']",75
682,3148,2081,MetaMorph,1,['https://metamorph.pro/'],62
683,5016,2084,Innovative Bioresearch Coin,1,['https://www.innovativebioresearch.com/'],91
684,7575,2086,nYFI,1,['https://nestprotocol.org/'],100
685,3141,2095,Blockpass,1,['https://blockpass.org/'],100
686,2310,2096,Bounty0x,1,['https://bounty0x.io/'],100
687,2944,2097,Elysian,1,['https://elycoin.io'],75
688,2717,2098,BoutsPro,1,['https://www.bouts.pro'],62
689,9109,2100,Savix,1,['https://savix.org/'],25
690,2279,2105,Playkey,1,"['https://playkey.io/', 'https://playkey.net/']",100
691,2406,2108,InvestDigital,1,['https://investdigital.info/'],59
692,9432,2109,Crypto Kombat,1,"['https://cryptokombat.com', 'https://vote.cryptokombat.com/#/']",70
693,2689,2114,Rublix,0,['https://rublix.io/'],90
694,2754,2124,HeroNode,0,['https://heronode.io/'],-1
695,2421,2126,VouchForMe,1,['https://vouchforme.co/'],95
696,3754,2128,EveryCoin ,1,['https://www.everycoin.io'],65
697,3597,2132,InterValue,0,['http://www.inve.one/'],-1
698,1562,2138,Swarm City,1,['http://swarm.city/'],95
699,3738,2139,Decentralized Crypto Token,1,['https://www.dctoproject.org/'],60
