Unnamed: 0,id,rank,name,valid_url,urls.website,web_score,alexa_rank
100,8000,315,Lido DAO Token,1,['https://lido.fi/'],90,"#55,248"
101,5947,318,TokenPocket,1,['https://www.tokenpocket.pro/'],100,"#134,480"
102,2467,335,OriginTrail,1,['https://origintrail.io/'],70,"#529,254"
103,9421,340,Ampleforth Governance Token,1,['https://www.ampleforth.org/'],90,"#168,737"
104,6859,342,Harvest Finance,1,['https://harvest.finance/'],40,"#83,665"
105,7486,343,Rari Governance Token,1,['http://rari.capital/'],45,"#101,023"
106,2896,345,Hifi Finance,1,['https://hifi.finance/'],40,"#807,161"
107,7590,347,Dvision Network,1,['https://dvision.network/'],30,Err
108,7440,352,BarnBridge,1,['https://barnbridge.com/'],85,"#169,774"
109,2588,361,Loom Network,1,['https://loomx.io/'],95,"#456,102"
110,5113,362,inSure DeFi,1,['https://insuretoken.net/'],61,Err
111,1789,365,Populous,1,['https://populous.world/'],100,"#888,331"
112,6929,369,Hegic,1,['https://www.hegic.co/'],60,"#394,754"
113,1856,370,district0x,1,['https://district0x.io/'],100,"#618,662"
114,6833,373,Litentry,1,['https://www.litentry.com/'],100,"#437,383"
115,2989,374,STASIS EURO,1,['https://stasis.net'],100,Err
116,4056,375,Ampleforth,1,['https://www.ampleforth.org/'],90,"#168,737"
117,4300,378,VideoCoin,1,['https://www.videocoin.network/'],75,"#637,204"
118,9638,381,SingularityDAO,1,['https://www.singularitydao.ai/'],65,"#139,404"
119,2143,383,Streamr,1,['https://streamr.network'],60,"#335,495"
120,4944,384,Tellor,1,['https://tellor.io/'],100,"#544,721"
121,6193,387,Cream Finance,1,"['https://cream.finance/', 'https://app.cream.finance/']",100,"#60,442"
122,5380,393,HUNT,1,"['http://hunt.town/', 'https://review.hunt.town/']",45,Err
123,8083,394,Tokenlon Network Token,1,['https://tokenlon.im/lon'],70,"#382,094"
124,8613,396,Alchemix,1,['https://alchemix.fi/'],55,"#86,662"
125,5802,397,Sora,1,"['https://sora.org/', 'https://sorascan.com/']",90,"#383,611"
126,2763,398,Morpheus.Network,1,['https://morpheus.network/'],100,"#774,487"
127,7535,403,Keep3rV1,1,['https://keep3r.network/'],25,Err
128,3581,404,Kleros,1,['https://kleros.io/'],100,"#209,520"
129,7750,406,Eden,1,['https://www.edennetwork.io/'],1,Err
130,8100,410,ankrETH,1,['https://stkr.io/'],100,Err
131,3795,412,ZEON,1,['https://zeon.network/'],90,Err
132,4134,416,Akropolis,1,['https://akropolis.io/'],95,"#207,021"
133,5810,419,bZx Protocol,1,['https://bzx.network/'],100,"#298,559"
134,7798,422,Decentral Games,1,['https://decentral.games'],90,"#110,297"
135,4862,424,DAD,1,['https://dad.one/'],95,Err
136,2245,425,Presearch,1,"['https://www.presearch.io/', 'https://www.presearch.org/']",80,"#213,189"
137,5601,428,xDai,1,['http://xdaichain.com/'],100,Err
138,6536,429,MANTRA DAO,1,['https://mantradao.com/'],20,Err
139,6953,430,Frax Share,1,['https://frax.finance/#welcome'],100,"#89,084"
140,5893,432,Frontier,1,"['https://frontier.xyz/', 'https://frontier.xyz/front/']",95,Err
141,6138,447,DIA,1,['https://diadata.org/'],80,Err
142,3600,450,Humanscape,1,['https://humanscape.io/'],100,Err
143,8191,451,NFTX,1,['https://nftx.org/'],100,Err
144,7553,452,unFederalReserve,1,"['https://www.unfederalreserve.com', 'https://lending.unfederalreserve.com']",50,Err
145,3936,456,GNY,1,['https://www.gny.io/'],35,Err
146,1768,457,AdEx Network,1,['https://www.adex.network/'],100,Err
147,8049,458,Tornado Cash,1,['https://app.tornado.cash/'],90,Err
148,7497,459,Marlin,1,['https://www.marlin.pro/'],100,Err
149,9640,465,MetisDAO,1,['https://www.metis.io'],100,Err
